STATION,NAME,LATITUDE,LONGITUDE
TH000048400,"NAKHON SAWAN, TH",15.8,100.167
TH000048565,"PHUKET AIRPORT, TH",8.132,98.317
TH000048500,"PRACHUAP KHIRI KHAN, TH",11.8,99.8
TH000048564,"PHUKET, TH",7.883,98.4
TH000048327,"CHIANG MAI, TH",18.783,98.983
TH000048426,"LOP BURI, TH",14.8,100.617
TH000048328,"LAMPANG, TH",18.283,99.517
TH000048405,"ROI ET, TH",16.05,103.683
TH000048303,"CHIANG RAI, TH",19.883,99.833
TH000048325,"MAE SARIANG, TH",18.167,97.933
TH000048501,"KHLONG YAI, TH",11.767,102.883
TH000048567,"TRANG, TH",7.517,99.617
TH000048425,"SUPHAN BURI, TH",14.467,100.133
LAM00048955,"PAKSE, LA",15.117,105.167
TH000048381,"KHON KAEN, TH",16.433,102.833
TH000048480,"CHANTHABURI, TH",12.6,102.117
TH000048462,"ARANYAPRATHET, TH",13.7,102.583
TH000048383,"MUKDAHAN, TH",16.533,104.717
TH000048517,"CHUMPHON, TH",10.483,99.183
TH000048356,"SAKON NAKHON, TH",17.15,104.133
TH000048378,"PHITSANULOK SARIT, TH",16.817,100.267
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567
TH000048477,"SATTAHIP, TH",12.683,100.983
TH000048357,"NAKHON PHANOM, TH",17.417,104.783
TH000048379,"PHETCHABUN, TH",16.433,101.15
TH000048456,"DON MUANG, TH",13.917,100.6
TH000048354,"UDORN AB USAF, TH",17.383,102.8
TH000048376,"TAK, TH",16.883,99.15
TH000048431,"NAKHON RATCHASIMA, TH",14.967,102.083
TH000048475,"HUA HIN, TH",12.583,99.95
TH000048552,"NAKHON SI THAMMARAT, TH",8.533,99.95
TH000048432,"SURIN, TH",14.883,103.5
TH000048459,"CHON BURI, TH",13.367,100.983
TH000048330,"PHRAE, TH",18.167,100.167
TH000048331,"NAN, TH",18.767,100.767
TH000048353,"LOEI, TH",17.45,101.733
TH000048375,"MAE SOT, TH",16.667,98.55
TH000048430,"PRACHIN BURI, TH",14.05,101.367
TH000048551,"SURAT THANI, TH",9.117,99.15
TH000048351,"UTTARADIT, TH",17.617,100.1
TH000048450,"KANCHANABURI, TH",14.017,99.533
TH000048407,"UBON RATCHATHANI, TH",15.25,104.867
THW00041020,"NAKHON PHANOM, TH",17.383,104.65
THW00041028,"U TAPAO RTNAS, TH",12.683,101.017
THW00041012,"TA KHLI, TH",15.283,100.3
THW00041019,"NAKHON RATCHASIMA, TH",14.933,102.083
THW00041017,"UBON RATCHATHANI, TH",15.25,104.867
THW00041018,"UDON THANI, TH",17.383,102.8
THW00041001,"DON MUANG, TH",13.917,100.617
TH000048569,"HAT YAI, TH",6.917,100.433
THW00041082,"NAM PHONG, TH",16.633,102.967
LAM00048946,"THAKHEK, LA",17.383,104.65
THM00048453,"BANG NA AGROMET, TH",13.667,100.617
