STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2007-12-28,,28.8,33.5,
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2007-12-29,,27.8,32.9,
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2007-12-30,,28.2,32.7,22.6
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2007-12-31,,26.7,30.4,
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-01,,23.3,28.1,
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-02,,22.7,27.0,17.9
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-03,,24.7,29.2,19.3
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-04,,26.5,31.2,20.7
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-05,,26.9,31.5,21.6
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-06,,26.7,31.4,
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-07,,26.4,32.6,20.6
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-08,,26.2,33.3,20.7
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-09,,27.1,33.3,21.2
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-10,,27.2,32.3,22.9
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-11,,27.5,31.8,24.1
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-12,,28.0,33.0,24.2
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-13,,28.2,33.4,23.1
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-14,,28.6,33.9,24.2
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-15,,28.5,33.5,24.5
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-16,,27.4,32.8,22.5
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-18,,27.4,32.7,22.3
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-19,,27.7,34.0,21.8
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-20,,28.4,35.3,22.7
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-21,,28.2,35.0,23.0
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-22,,28.4,34.3,23.4
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-23,,27.4,32.3,23.4
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-24,,27.8,32.7,22.0
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-25,,26.9,31.5,23.8
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-26,,27.0,31.7,22.3
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-27,,28.9,33.9,25.1
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-28,,28.0,32.3,24.6
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-29,0.0,28.6,32.2,26.2
THM00048453,"BANG NA AGROMET, TH",13.667,100.617,6.0,2008-01-30,7.9,28.1,31.5,26.5
