STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-01,0.0,,30.0,15.6
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-02,0.0,,31.1,15.6
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-03,0.0,,32.2,17.8
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-04,0.0,,33.3,18.9
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-05,0.0,,32.8,19.4
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-06,0.0,,33.3,18.9
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-07,0.0,,31.7,18.9
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-08,0.0,,31.7,18.3
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-09,0.0,,32.2,18.3
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-10,0.0,,32.2,17.8
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-11,0.0,,32.2,18.3
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-12,0.0,,31.7,20.0
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-13,0.0,,32.2,17.8
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-14,0.0,,32.8,18.3
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-15,0.0,,32.8,19.4
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-16,0.0,,34.4,19.4
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-17,0.0,,26.1,13.9
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-18,0.0,,25.0,12.2
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-19,0.0,,27.8,12.2
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-20,0.0,,30.0,15.6
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-21,0.0,,31.7,20.0
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-22,0.0,,33.9,19.4
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-23,0.0,,33.9,20.6
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-24,0.0,,33.3,20.0
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-25,0.0,,30.0,16.7
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-26,0.0,,32.2,17.2
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-27,0.0,,30.0,17.2
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-28,0.0,,31.1,14.4
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-29,0.0,,29.4,15.6
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-30,0.0,,26.7,14.4
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1965-12-31,0.0,,24.4,9.4
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-01,0.0,,26.1,8.9
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-02,0.0,,29.4,11.1
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-03,0.0,,30.6,13.9
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-04,0.0,,28.9,12.8
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-05,0.0,,29.4,13.3
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-06,0.0,,30.6,15.0
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-07,0.0,,30.6,15.0
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-08,0.0,,31.1,16.1
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-09,0.0,,30.6,16.1
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-10,0.0,,32.2,17.2
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-11,0.0,,35.0,18.3
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-12,0.0,,33.9,20.0
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-13,0.0,,34.4,20.6
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-14,0.0,,33.3,20.6
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-15,0.0,,32.8,18.9
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-16,0.0,,32.8,18.3
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-17,0.0,,34.4,20.6
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-18,0.0,,35.0,20.6
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-19,0.0,,32.8,17.8
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-20,0.0,,32.2,20.0
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-21,0.0,,32.2,17.2
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-22,0.0,,33.9,16.7
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-23,0.0,,35.0,17.8
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-24,0.0,,35.0,20.0
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-25,0.0,,32.2,20.0
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-26,0.0,,33.9,18.9
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-27,0.0,,33.9,20.6
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-28,0.0,,28.9,18.9
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-29,0.0,,31.7,17.8
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-30,0.0,,31.7,18.3
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-01-31,0.0,,31.7,18.9
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-01,0.0,,33.9,22.2
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-02,0.0,,33.9,24.4
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-03,0.0,,33.3,22.8
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-04,0.0,,34.4,23.9
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-05,13.0,,30.0,20.0
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-06,0.0,,30.6,18.3
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-07,0.0,,32.2,17.8
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-08,0.0,,31.7,16.1
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-09,0.0,,33.9,17.8
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-10,0.0,,35.0,18.3
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-11,0.0,,35.0,19.4
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-12,0.0,,32.8,20.0
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-13,0.0,,31.7,18.9
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-14,0.0,,32.8,15.6
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-15,0.0,,33.9,16.7
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-16,0.0,,35.6,21.1
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-17,0.0,,36.1,22.2
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-18,0.0,,33.9,23.9
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-19,0.3,,32.2,23.3
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-20,5.6,,35.0,24.4
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-21,46.7,,32.8,23.9
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-22,0.8,,33.3,23.9
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-23,7.1,,25.6,16.1
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-24,0.5,,20.0,16.1
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-25,1.0,,29.4,16.7
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-26,0.0,,31.7,16.7
THW00041020,"NAKHON PHANOM, TH",17.383329999999994,104.65,176.2,1966-02-27,0.0,,32.8,16.7
