STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1950-10-03,4.1,26.5,,22.8
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1951-07-25,,28.2,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1952-05-18,,31.5,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1952-06-01,,31.3,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1952-06-11,6.1,27.7,,22.2
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1952-07-28,,26.1,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1952-08-09,8.9,25.7,,22.2
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1952-08-13,30.0,25.6,,22.8
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1952-08-14,6.1,26.9,,23.9
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1952-08-15,,28.8,,23.9
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1952-08-31,1.0,26.5,,23.9
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1952-09-10,0.5,30.7,,22.8
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1952-09-23,46.0,31.5,,26.1
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1952-09-28,8.9,29.3,,23.9
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1952-10-23,7.1,27.8,,23.9
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1952-10-26,39.9,27.5,,22.8
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1952-10-29,,24.8,,21.1
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1952-11-02,2.0,24.7,,18.9
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1952-11-06,,28.3,,23.9
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1952-11-10,0.5,26.8,,22.2
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1952-12-16,,22.9,,15.0
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1952-12-26,,25.7,,18.9
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1952-12-27,,24.3,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-02,,24.7,,17.2
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-10,,23.1,,15.0
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-11,,25.2,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-12,,26.6,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-13,,26.9,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-14,,26.9,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-15,,26.6,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-16,,27.0,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-17,,26.2,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-18,,26.4,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-19,,26.1,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-20,,26.1,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-21,,25.4,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-22,,26.9,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-23,,25.1,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-24,,25.8,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-25,,26.7,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-26,,26.7,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-27,,27.4,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-28,,26.4,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-29,,27.4,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-30,,28.1,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-01-31,,28.2,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-01,,26.8,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-02,,27.6,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-03,,26.9,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-04,,28.2,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-05,,28.9,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-06,,27.5,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-07,,27.6,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-09,,26.9,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-10,,27.8,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-11,,28.4,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-12,,28.1,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-13,,25.6,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-14,,26.3,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-15,,26.8,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-16,,27.4,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-17,,30.4,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-18,,27.6,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-19,,28.0,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-20,,27.1,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-21,,21.6,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-22,,20.5,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-23,,27.6,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-24,,29.6,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-25,,29.1,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-26,,29.4,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-27,,28.4,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-02-28,,26.4,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-01,,27.4,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-02,,30.7,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-03,,29.5,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-04,,29.6,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-05,,29.7,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-06,,28.8,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-07,,25.8,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-08,,26.7,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-09,,31.0,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-10,,30.9,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-11,,31.0,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-12,,31.6,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-13,,28.3,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-14,,27.5,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-15,,28.3,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-16,,31.4,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-17,,30.6,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-18,,30.6,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-19,,30.7,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-20,,31.3,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-21,,28.2,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-22,,27.9,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-23,,30.9,,
LAM00048955,"PAKSE, LA",15.117,105.167,102.0,1953-03-24,,29.2,,
