STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-01,0.0,,28.9,18.9
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-02,0.0,,29.4,18.3
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-03,0.0,,31.1,18.9
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-04,0.0,,32.8,21.1
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-05,0.0,,33.3,21.7
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-06,0.0,,31.7,23.9
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-07,0.0,,32.8,22.2
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-08,0.0,,32.2,23.9
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-09,0.0,,30.6,23.3
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-10,0.0,,33.3,22.8
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-11,2.8,,32.8,23.3
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-12,0.0,,30.6,23.3
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-13,0.0,,31.7,23.9
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-14,0.0,,33.3,23.9
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-15,0.0,,32.2,23.3
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-16,23.9,,33.9,23.3
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-17,0.0,,30.0,22.8
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-18,0.0,,29.4,20.6
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-19,0.0,,30.0,18.3
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-20,0.0,,30.0,18.9
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-21,0.0,,31.7,22.2
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-22,0.0,,33.3,22.2
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-23,0.0,,33.9,22.2
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-24,0.0,,35.0,21.7
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-25,0.0,,31.1,23.3
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-26,0.0,,33.3,21.7
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-27,0.0,,35.0,21.7
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-28,0.0,,35.6,21.1
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-29,0.0,,34.4,18.3
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-30,0.0,,33.3,21.1
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1965-12-31,0.0,,31.1,18.9
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-01,0.0,,31.7,16.1
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-02,0.0,,30.6,15.6
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-03,0.0,,31.7,15.6
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-04,0.0,,33.3,17.8
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-05,0.0,,33.9,18.3
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-06,0.0,,34.4,19.4
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-07,0.0,,33.9,20.6
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-08,0.0,,35.0,20.0
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-09,0.0,,35.6,21.7
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-10,0.0,,36.7,21.1
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-11,0.0,,36.1,22.2
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-12,0.0,,36.1,24.4
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-13,0.0,,36.1,25.0
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-14,0.0,,36.1,24.4
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-15,0.0,,34.4,25.0
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-16,0.0,,35.0,23.9
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-17,0.0,,35.6,23.9
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-18,0.0,,35.0,24.4
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-19,0.0,,35.0,25.0
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-20,0.0,,35.6,22.2
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-21,0.0,,35.0,23.3
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-22,0.0,,35.6,24.4
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-23,0.0,,35.6,23.3
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-24,0.0,,37.2,23.9
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-25,4.8,,33.9,25.0
THW00041012,"TA KHLI, TH",15.28333,100.3,33.2,1966-01-26,0.0,,33.9,25.0
