STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-01-07,,22.9,30.0,12.2
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-01-08,,23.2,,12.2
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-01-31,,24.8,32.8,11.1
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-02-01,,27.2,30.0,
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-02-09,,29.0,33.9,
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-02-10,,25.8,32.8,16.1
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-02-11,,24.6,32.2,16.1
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-02-15,,29.6,33.9,
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-03-19,,34.4,37.8,
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-03-20,,37.8,,
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-04-04,,26.0,31.1,21.1
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-04-11,,30.4,37.8,26.1
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-04-15,,31.4,40.0,26.1
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-04-22,,36.0,42.2,27.2
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-05-13,5.1,31.5,36.1,25.0
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-05-23,14.0,28.8,32.2,22.8
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-05-24,2.0,29.0,33.9,25.0
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-05-25,5.1,26.5,,23.9
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-05-27,6.1,29.8,33.9,23.9
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-05-28,6.1,31.5,,25.0
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-05-30,,30.4,35.0,26.1
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-05-31,7.1,30.8,35.0,26.1
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-06-08,,30.1,32.8,26.1
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-06-10,,30.1,,26.1
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-06-12,,31.9,35.0,
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-06-14,,33.1,36.1,
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-07-01,,26.1,27.2,22.8
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-07-06,0.5,29.0,32.2,25.0
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-07-20,0.3,29.2,,26.1
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-07-21,4.1,26.2,32.2,23.9
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-07-28,0.5,30.4,36.1,26.1
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-08-04,4.1,29.6,,26.1
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-08-26,0.5,26.1,32.2,23.9
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-08-27,49.0,27.8,32.8,23.9
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-09-05,8.9,25.6,27.2,25.0
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-09-08,48.0,28.5,32.2,22.2
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-09-10,23.1,25.8,,23.9
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-09-14,1.0,29.3,32.8,23.9
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-09-16,,29.2,32.2,
THW00041018,"UDON THANI, TH",17.383329999999994,102.8,178.0,1960-09-18,,31.2,,22.8
