STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-01,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-02,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-03,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-04,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-05,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-06,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-07,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-09,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-10,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-11,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-12,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-13,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-14,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-15,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-16,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-17,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-18,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-19,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-20,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-21,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-22,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-23,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-24,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-25,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-26,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-27,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-28,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-29,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-30,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-07-31,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-01,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-02,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-03,,,,
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-04,0.8,,31.1,27.2
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-05,0.0,,30.0,26.1
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-06,0.0,,32.8,26.1
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-07,0.0,,35.0,27.2
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-08,0.3,,32.8,26.1
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-09,,,32.2,27.2
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-10,0.8,,31.1,27.2
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-11,2.0,,32.2,25.0
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-12,0.0,,30.0,27.2
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-13,1.0,,31.1,27.2
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-14,5.1,,31.1,26.1
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-15,14.7,,31.1,25.0
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-16,0.0,,32.2,26.1
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-17,6.4,,31.1,26.1
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-18,22.6,,31.1,23.9
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-19,14.0,,32.2,25.0
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-20,0.5,,32.8,26.1
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-21,0.0,,32.8,26.1
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-22,0.8,,32.8,26.1
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-23,12.2,,32.2,25.0
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-24,2.3,,32.2,25.0
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-25,0.0,,32.2,23.9
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-26,13.0,,32.2,25.0
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-27,3.8,,31.1,26.1
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-28,0.0,,30.0,25.6
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-29,6.1,,30.0,24.4
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-30,0.3,,32.2,23.9
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-08-31,0.0,,33.9,25.0
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-09-01,5.6,,31.1,25.0
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-09-02,1.8,,30.0,25.0
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-09-03,1.0,,32.8,25.0
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-09-04,18.3,,30.0,23.9
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-09-05,5.8,,28.9,22.2
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-09-06,0.5,,31.1,25.0
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-09-07,0.0,,31.7,26.7
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-09-08,0.3,,31.7,26.7
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-09-09,1.0,,31.1,25.0
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-09-10,0.0,,31.7,25.6
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-09-11,0.0,,32.2,26.1
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-09-12,0.0,,32.2,27.2
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-09-13,0.0,,32.8,26.7
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-09-14,4.8,,29.4,25.0
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-09-15,7.9,,32.2,26.1
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-09-16,0.0,,32.2,25.0
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-09-17,4.6,,31.7,25.6
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-09-18,34.5,,30.6,23.9
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-09-19,14.5,,28.9,24.4
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-09-20,5.1,,28.9,25.0
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-09-21,2.0,,31.7,25.6
THW00041028,"U TAPAO RTNAS, TH",12.68333,101.01667,18.3,1966-09-22,2.5,,32.8,23.9
